Draft Projection
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
J.C. Tretter
NA
NA
NA
NA
Lance Zierlein
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
Round 1 (top 5)
Round 1
Round 1 (top 10)
Round 1
Top 3 overall selection
Round 1
Round 1
Round 1
Round 1
Round 1
Round 1
Round 1
Round 1
Round 1
Rounds 1-2
Round 2
Round 1
Round 1
Rounds 1-2
Rounds 1-2
Rounds 1-2
Round 2
Round 1
Round 1
Rounds 1-2
Round 1
Round 2nd
Round 1
Round 2
Rounds 1-2
Round 2
Round 1
Rounds 1-2
Round 1
Round 2
Rounds 1-2
Round 2
Rounds 2-3
Rounds 2-3
Round 2
Round 2
Rounds 1-2
Rounds 2-3
Rounds 2-3
Rounds 1-2
Round 2
Rounds 2-3
Round 2
Rounds 2-3
Round 1
Rounds 1-2
Rounds 2-3
Rounds 2
Round 3
Round 2-3
Rounds 1-2
Rounds 2-3
Rounds 1-2
Round 3
NA
Round 4
Rounds 3-4
Round 2
Round 2
Rounds 2-3
Rounds 3-4
Rounds 3-4
Rounds 3-4
Round 4
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 2-3
Rounds 5-6
Round 3
Rounds 3-4
Round 3
Rounds 4-5
Rounds 4/5
Round 2-3
Rounds 3-4
Rounds 2-3
Rounds 3-4
Round 2
NA
Rounds 3-4
Round 2
Round 3
Round 2
Rounds 2-3
Rounds 3-4
Round 3
Rounds 2-3
Round 2nd
Round 4
Round 3-4
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Round 7/PFA
Rounds 4-5
Rounds 2-3
Rounds 4-5
Round 5
Rounds 4-5
Round 4
Rounds 3-4
Rounds 4-5
Rounds 5-6
Rounds 3-4
NA
Rounds 4-5
Rounds 4-5
Rounds 4-5
Round 3
Rounds 4-5
Rounds 3-4
Rounds 4-5
Rounds 3-4
Rounds 5-6
Rounds 4-5
Rounds 3-4
Rounds 4-5
Round 4
Rounds 3-4
Round 4
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Round 5
Rounds 4-5
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 3-4
Rounds 3-4
Rounds 3-4
Rounds 6-7
Rounds 5-6
Rounds 3-4
Rounds 6-7
Rounds 6-7
Rounds 5-6
Rounds 6-7
Rounds 5-6
Rounds 5-6
Rounds 4-5
Rounds 5-6
Rounds 5-6
Rounds 4-5
Round 6
Rounds 5-6
Rounds 4-5
Rounds 4-5
Rounds 4-5
Rounds 5th-6th
Rounds 5-6
Rounds 5-6
Round 7/PFA
Round 4-5
Rounds 4-5
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 4-5
Round 6-7
Rounds 2-3
Rounds 5-6
Rounds 6-7
Rounds 4-5
Rounds 5-6
Rounds 7-PFA
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 4-5
Round 5
Rounds 5-6
Rounds 4-5
Rounds 5-6
Rounds 5-6
Round 5-6
Rounds 6-7
Rounds 5-6
Rounds 3-4
Rounds 5-6
Rounds 6-7
Rounds 4-5
Rounds 4-5
Rounds 5-6
Rounds 5-6
Round 4-5
"Rounds 4-5
"
Rounds 5-6
Rounds 5-6
Rounds 5-6
Rounds 4-5
Round 7/PFA
Rounds 4-5
Rounds 6-7
Rounds 4-5
Rounds 5-6
Rounds 6-7
Rounds 6-7
Rounds 5-6
Round 6-7
Rounds 5-6
Rounds 5-6
Round 7/PFA
Round 7/PFA
Round 6-7
Rounds 6-7
Rounds 6-7
Rounds 6-7
Round 5-6
Rounds 6-7
Round 3
Rounds 6-7
Round 7/PFA
Round7/PFA
Round 4-5
Rounds 5-6
Rounds 5-6
Rounds 6-7
Rounds 6-7
Rounds 5-6
Rounds 5-6
Rounds 6-7
Rounds 4-5
Round7/PFA
Rounds 6-7
NA
Rounds 6-7
Rounds 6-7
Rounds 6-7
Rounds 6-7
